,Player_Id,Player,Assists,Shifts,BLOCK,GOAL (BACKHAND),GOAL (DEFLECTED),GOAL (SLAP SHOT),GOAL (SNAP SHOT),GOAL (TIP-IN),GOAL (WRAP-AROUND),GOAL (WRIST SHOT),HIT,PENL (FIGHTING),PENL (OTHER)
80,8474141,PATRICK KANE,66.0,1798,26.0,1.0,1.0,3.0,1.0,2.0,0.0,17.0,11.0,0.0,9.0
81,8474145,ROBERT BORTUZZO,5.0,1820,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,155.0,2.0,16.0
82,8474149,EVGENY DADONOV,23.0,1548,25.0,5.0,1.0,0.0,3.0,2.0,0.0,9.0,65.0,0.0,9.0
83,8474150,MIKAEL BACKLUND,30.0,2252,30.0,1.0,0.0,1.0,3.0,3.0,0.0,9.0,79.0,0.0,19.0
84,8474151,RYAN MCDONAGH,26.0,2460,206.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,140.0,0.0,13.0
85,8474157,MAX PACIORETTY,17.0,777,21.0,1.0,1.0,1.0,3.0,1.0,0.0,12.0,29.0,1.0,8.0
86,8474161,JAKUB VORACEK,56.0,1618,28.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,27.0,0.0,11.0
87,8474162,JAKE MUZZIN,12.0,1465,76.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,130.0,0.0,7.0
88,8474166,ALEC MARTINEZ,5.0,624,68.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,2.0
89,8474176,CARL HAGELIN,11.0,1102,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,32.0,0.0,9.0
90,8474189,LARS ELLER,20.0,1672,39.0,3.0,0.0,1.0,0.0,1.0,0.0,8.0,118.0,0.0,20.0
91,8474190,WAYNE SIMMONDS,11.0,1010,11.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,154.0,6.0,16.0
92,8474207,NICK HOLDEN,14.0,1915,112.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,115.0,0.0,6.0
93,8474291,JAY BEAGLE,1.0,698,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,6.0
94,8474563,DREW DOUGHTY,24.0,1033,53.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,60.0,0.0,15.0
95,8474564,STEVEN STAMKOS,72.0,2357,55.0,1.0,1.0,17.0,9.0,3.0,0.0,22.0,153.0,1.0,26.0
96,8474565,ALEX PIETRANGELO,31.0,2155,161.0,1.0,0.0,2.0,0.0,1.0,0.0,6.0,65.0,0.0,11.0
97,8474567,ZACH BOGOSIAN,8.0,1260,52.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,167.0,4.0,14.0
98,8474568,LUKE SCHENN,12.0,1633,96.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,273.0,7.0,12.0
99,8474573,JOSH BAILEY,30.0,1649,26.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,19.0,0.0,3.0
100,8474574,TYLER MYERS,17.0,2248,148.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,145.0,2.0,22.0
101,8474578,ERIK KARLSSON,25.0,1364,44.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,17.0,0.0,6.0
102,8474584,MICHAEL DEL ZOTTO,10.0,616,34.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,42.0,0.0,2.0
103,8474586,JORDAN EBERLE,23.0,1688,40.0,5.0,0.0,2.0,3.0,2.0,0.0,8.0,48.0,0.0,8.0
